,Company,Bar_name,Review_update,Review_date,Cocoa_percentage,Company_location,Quality,Bean_type,Beans_location,Quality(round)
285,Cacao Barry,Santo Domingo,586,2010,70.0,France,3.0,,Dominican Republic,5
286,Cacao Barry,Tanzania,300,2008,75.0,France,2.0,,Tanzania,5
287,Cacao Barry,Venezuela,141,2007,72.0,France,2.0,,Venezuela,5
288,Cacao Barry,Mexico,147,2007,66.0,France,3.0,,Mexico,5
289,Cacao de Origen,Chuao,1688,2015,77.0,Venezuela,3.5,Trinitario,Venezuela,3
290,Cacao de Origen,Rio Caribe,1692,2015,75.0,Venezuela,3.25,Trinitario,Venezuela,3
291,Cacao de Origen,Agua Fria; Sucre region,1391,2014,75.0,Venezuela,2.5,,Venezuela,2
292,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74.0,Venezuela,3.25,,Venezuela,3
293,Cacao de Origen,"Chuao, Aragua region",1391,2014,75.0,Venezuela,3.5,Trinitario,Venezuela,3
294,Cacao de Origen,"Chuao, Aragua region",1395,2014,70.0,Venezuela,3.75,Trinitario,Venezuela,3
295,Cacao de Origin,Hacienda la Trinidad,1668,2015,74.0,Venezuela,3.25,,Venezuela,3
296,Cacao Hunters,Macondo,1816,2016,71.0,Colombia,3.75,,Colombia,3
297,Cacao Hunters,Perla Negra,1816,2016,74.0,Colombia,3.75,,Colombia,3
298,Cacao Hunters,Arhuacos,1662,2015,72.0,Colombia,3.75,,Colombia,3
299,Cacao Hunters,Sierra Nevada,1430,2014,64.0,Colombia,3.5,,Colombia,3
300,Cacao Hunters,Tumaco,1430,2014,70.0,Colombia,3.5,,Colombia,3
301,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69.0,Colombia,2.75,,Colombia,2
302,Cacao Hunters,Arauca,1434,2014,70.0,Colombia,3.25,,Colombia,3
303,Cacao Market,"Jutiapa, lot 050916D",1860,2016,70.0,U.S.A.,3.5,Trinitario,Honduras,3
304,Cacao Prieto,"Criollo, Dominican Republic",991,2012,72.0,U.S.A.,3.75,Criollo,Dominican Republic,3
305,Cacao Prieto,"Dominican Republicm, rustic",641,2011,72.0,U.S.A.,3.0,,Dominican Republic,5
306,Cacao Prieto,Dominican Republic,641,2011,66.0,U.S.A.,3.75,,Dominican Republic,3
307,Cacao Prieto,"Dominican Republic, rustic",647,2011,65.0,U.S.A.,3.25,,Dominican Republic,3
308,Cacao Sampaka,"Mahali, Kasai",1908,2016,70.0,Spain,3.5,Criollo,Congo,3
309,Cacao Sampaka,Madagascar,508,2010,71.0,Spain,3.5,Trinitario,Madagascar,3
310,Cacao Sampaka,Ecuador,523,2010,71.0,Spain,3.75,,Ecuador,3
311,Cacao Sampaka,Papua,523,2010,71.0,Spain,4.0,,Papua New Guinea,5
312,Cacao Sampaka,Grenada,537,2010,71.0,Spain,3.25,Trinitario,Grenada,3
313,Cacao Sampaka,Venezuela,537,2010,71.0,Spain,3.5,,Venezuela,3
314,Cacao Sampaka,Venezuela,537,2010,77.0,Spain,3.5,,Venezuela,3
315,Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70.0,Spain,4.0,Criollo,Mexico,5
316,Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70.0,Spain,4.0,Criollo,Mexico,5
317,Cacao Store,Madagascar,1684,2015,70.0,Japan,3.0,Trinitario,Madagascar,5
318,Cacao Store,Peru,1684,2015,70.0,Japan,3.25,,Peru,3
319,Cacao Store,Vietnam,1684,2015,70.0,Japan,3.5,Trinitario,Vietnam,3
320,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70.0,Peru,3.25,,Peru,3
321,Cacaoyere (Ecuatoriana),Amazonia,237,2008,63.0,Ecuador,3.5,Forastero (Arriba),Ecuador,3
322,Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71.0,Ecuador,3.5,Forastero (Arriba),Ecuador,3
323,Cacaoyere (Ecuatoriana),Bolivar,245,2008,82.0,Ecuador,2.5,Forastero (Arriba),Ecuador,2
324,Cacaoyere (Ecuatoriana),Pichincha,259,2008,91.0,Ecuador,1.5,Forastero (Arriba),Ecuador,1
325,Callebaut,Grenade,296,2008,60.0,Belgium,2.75,Trinitario,Grenada,2
326,Callebaut,Baking,141,2007,70.0,Belgium,1.0,,Ecuador,1
327,C-Amaro,Cuba,1442,2014,75.0,Italy,2.5,,Cuba,2
328,C-Amaro,Dominican Republic,1442,2014,72.0,Italy,3.0,,Dominican Republic,5
329,C-Amaro,"Lago di Como, Blu",1442,2014,70.0,Italy,3.5,Blend, ,3
330,C-Amaro,Ecuador,1185,2013,100.0,Italy,3.5,,Ecuador,3
331,C-Amaro,Venezuela,809,2012,80.0,Italy,3.0,,Venezuela,5
332,C-Amaro,Sao Tome,749,2011,78.0,Italy,2.25,Forastero,Sao Tome,2
333,C-Amaro,Trinidad,765,2011,70.0,Italy,2.5,Trinitario,Trinidad,2
334,Cao,Porcelana,1804,2016,75.0,U.S.A.,2.5,Criollo,Venezuela,2
335,Cao,Tanzania,1804,2016,73.0,U.S.A.,2.75,,Tanzania,2
336,Cao,"Porcelana, Batch 5163",1804,2016,70.0,U.S.A.,3.0,Criollo,Venezuela,5
337,Cao,Bolivia,1808,2016,75.0,U.S.A.,3.0,,Bolivia,5
338,Cao,Brazil,1808,2016,70.0,U.S.A.,3.25,Trinitario,Brazil,3
339,Caoni (Tulicorp),Esmeraldas,237,2008,77.0,Ecuador,2.0,Forastero (Arriba),Ecuador,5
340,Caoni (Tulicorp),Manabi,237,2008,77.0,Ecuador,2.5,Forastero (Arriba),Ecuador,2
341,Caoni (Tulicorp),Los Rios,245,2008,77.0,Ecuador,2.75,Forastero (Arriba),Ecuador,2
342,Caoni (Tulicorp),Manabi,266,2008,55.0,Ecuador,3.0,Forastero (Arriba),Ecuador,5
343,Caoni (Tulicorp),Los Rios,269,2008,55.0,Ecuador,3.25,Forastero (Arriba),Ecuador,3
344,Caoni (Tulicorp),Esmeraldas,269,2008,55.0,Ecuador,3.5,Forastero (Arriba),Ecuador,3
345,Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70.0,New Zealand,3.5,Trinitario,Papua New Guinea,3
346,Captain Pembleton,Kulili Estate,1263,2014,70.0,New Zealand,3.75,,Papua New Guinea,3
347,Caribeans,"Antigua, Special Reserve",1582,2015,72.0,Costa Rica,3.5,,Guatemala,3
348,Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72.0,Costa Rica,3.25,,Costa Rica,3
349,Caribeans,Anselmo Paraiso Estate,1586,2015,72.0,Costa Rica,3.5,,Costa Rica,3
350,Caribeans,Costa Rica,841,2012,72.0,Costa Rica,3.0,Forastero,Costa Rica,5
351,Caribeans,Costa Rica,845,2012,80.0,Costa Rica,2.75,Forastero,Costa Rica,2
352,Carlotta Chocolat,Arauca,1884,2016,65.0,Colombia,3.0,Trinitario,Colombia,5
353,Carlotta Chocolat,Tumaco,1888,2016,65.0,Colombia,3.25,Trinitario,Colombia,3
354,Carlotta Chocolat,Cordoba,1888,2016,65.0,Colombia,3.25,Trinitario,Colombia,3
355,Carlotta Chocolat,Huila,1888,2016,65.0,Colombia,3.5,Trinitario,Colombia,3
356,Carlotta Chocolat,Cesar,1888,2016,65.0,Colombia,3.5,CCN51,Colombia,3
357,Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72.0,U.S.A.,4.0,Trinitario,Belize,5
358,Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72.0,U.S.A.,3.5,Trinitario,Honduras,3
359,Castronovo,"Duarte, Batch 360",1570,2015,70.0,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic,3
360,Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72.0,U.S.A.,3.5,,Venezuela,3
361,Castronovo,Sierra Nevada,1347,2014,72.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia,3
362,Castronovo,Arauca,1371,2014,76.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia,3
363,Castronovo,Elvesia P.,1407,2014,70.0,U.S.A.,2.75,Trinitario,Dominican Republic,2
364,Castronovo,Bolivia,1101,2013,70.0,U.S.A.,3.0,Trinitario,Bolivia,5
365,Castronovo,Conacado,1101,2013,73.0,U.S.A.,3.5,Trinitario,Dominican Republic,3
366,Castronovo,San Martin,1105,2013,70.0,U.S.A.,2.5,Criollo,Peru,2
367,Castronovo,"Guaniamo, Amazonas",1105,2013,70.0,U.S.A.,3.25,,Venezuela,3
368,Castronovo,Nicaragua,1109,2013,72.0,U.S.A.,3.25,Trinitario,Nicaragua,3
369,Castronovo,Tumbes,1153,2013,70.0,U.S.A.,2.75,Criollo,Peru,2
370,Castronovo,Guaniamo,1153,2013,72.0,U.S.A.,3.0,,Venezuela,5
371,Cello,Ecuador,1247,2014,70.0,U.S.A.,2.5,,Ecuador,2
372,Cello,Peru,1247,2014,70.0,U.S.A.,2.75,,Peru,2
373,Cello,Venezuela,1251,2014,70.0,U.S.A.,2.75,,Venezuela,2
374,Cello,Bolivia,1251,2014,70.0,U.S.A.,3.0,,Bolivia,5
375,Cemoi,Equateur,404,2009,72.0,France,2.75,,Ecuador,2
376,Chaleur B,Uganda,1426,2014,70.0,Canada,2.75,Forastero,Uganda,2
377,Charm School,Maya Mtn,1900,2016,70.0,U.S.A.,3.25,,Belize,3
378,Chchukululu (Tulicorp),Arriba,486,2010,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,2
379,Chchukululu (Tulicorp),Los Rios,252,2008,75.0,Ecuador,3.0,Forastero (Arriba),Ecuador,5
380,Chequessett,la Amistad,1235,2014,70.0,U.S.A.,3.5,,Costa Rica,3
381,Chloe Chocolat,Blend No. 1,672,2011,70.0,France,3.5,, ,3
382,Chocablog,Ecuador,1454,2015,70.0,U.K.,3.25,,Ecuador,3
383,Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75.0,Germany,3.0,Trinitario,Belize,5
384,Choco Del Sol,Maya Mountain,1407,2014,82.0,Germany,3.25,Trinitario,Belize,3
385,Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70.0,South Korea,2.75,Trinitario,Vietnam,2
386,Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70.0,South Korea,3.5,Trinitario,Malaysia,3
387,Chocolarder,Peru,1482,2015,65.0,U.K.,2.5,Criollo,Peru,2
388,Chocolarder,Peru + nibs,1482,2015,65.0,U.K.,2.75,Criollo,Peru,2
389,Chocolarder,Dominican Republic,1514,2015,80.0,U.K.,2.5,,Dominican Republic,2
390,Chocola'te,Madagascar,647,2011,70.0,U.S.A.,3.75,Trinitario,Madagascar,3
391,Chocola'te,Venezuela,647,2011,68.0,U.S.A.,3.75,,Venezuela,3
392,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90.0,U.S.A.,2.5,,Peru,2
393,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80.0,U.S.A.,2.5,, ,2
394,Chocolate Con Amor,Wild Bolivian,1760,2016,70.0,U.S.A.,2.5,,Bolivia,2
395,Chocolate Con Amor,Uganda,1760,2016,70.0,U.S.A.,2.75,,Uganda,2
396,Chocolate Con Amor,Dominican Republic,1764,2016,60.0,U.S.A.,3.0,,Dominican Republic,5
397,Chocolate Con Amor,Dominican Republic,1764,2016,75.0,U.S.A.,3.0,,Dominican Republic,5
398,Chocolate Con Amor,Ocumare,1764,2016,80.0,U.S.A.,3.0,Criollo (Ocumare),Venezuela,5
399,Chocolate Con Amor,Ecuador,1764,2016,70.0,U.S.A.,3.25,,Ecuador,3
400,Chocolate Con Amor,Nicaragua,1768,2016,80.0,U.S.A.,2.75,,Nicaragua,2
401,Chocolate Conspiracy,Peru,1259,2014,74.0,U.S.A.,2.75,,Peru,2
402,Chocolate Makers,Tres Hombres,1530,2015,75.0,Amsterdam,3.25,Trinitario,Dominican Republic,3
403,Chocolate Makers,"Congo, Gorilla bar",1530,2015,68.0,Amsterdam,3.5,Forastero,Congo,3
404,Chocolate Makers,"Peru, Awagum bar",1530,2015,80.0,Amsterdam,3.75,Criollo,Peru,3
405,"Chocolate Tree, The",Maranon,1582,2015,69.0,Scotland,3.75,Forastero (Nacional),Peru,3
406,"Chocolate Tree, The",Carenero Superior,1582,2015,80.0,Scotland,3.75,Trinitario,Venezuela,3
407,"Chocolate Tree, The",Peru,1121,2013,70.0,Scotland,3.75,Forastero (Nacional),Peru,3
408,"Chocolate Tree, The",Ecuador,919,2012,82.0,Scotland,2.5,Forastero (Arriba),Ecuador,2
409,"Chocolate Tree, The",Peru,919,2012,68.0,Scotland,2.75,Criollo,Peru,2
410,"Chocolate Tree, The",Madagascar,919,2012,72.0,Scotland,3.25,Criollo,Madagascar,3
411,Chocolats Privilege,Xoconusco,1219,2014,70.0,Canada,2.5,Criollo,Mexico,2
412,ChocoReko,Patanemo,1454,2015,77.0,Japan,3.0,Criollo,Venezuela,5
413,Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65.0,Canada,3.25,,Mexico,3
414,Chocovic,Xoconusco,478,2010,71.0,Spain,3.25,Criollo,Mexico,3
415,Chocovic,Sambirano,478,2010,71.0,Spain,3.5,Trinitario,Madagascar,3
416,Chocovic,Kendari,439,2009,60.0,Spain,3.25,, ,3
417,Chocovic,Tarakan,439,2009,75.0,Spain,3.25,, ,3
418,Chocovic,Ocumare,209,2008,71.0,Spain,3.5,Criollo,Venezuela,3
419,Chocovic,"Bolivar, Guaranda",117,2007,71.0,Spain,2.5,Forastero (Arriba),Ecuador,2
420,Chocovic,Guyave,117,2007,71.0,Spain,2.5,Trinitario,Grenada,2
421,Chocovic,Maragda,117,2007,70.0,Spain,3.0,Blend, ,5
422,Chocovivo,Tabasco,1522,2015,65.0,U.S.A.,2.5,Trinitario,Mexico,2
423,Chocovivo,Tabasco,1522,2015,75.0,U.S.A.,2.5,Trinitario,Mexico,2
424,Choklat,Ocumare,377,2009,80.0,Canada,2.5,Criollo,Venezuela,2
425,Choklat,"Porcelana, Tabasco",377,2009,70.0,Canada,2.75,Criollo,Mexico,2
426,Choklat,Brazilian,377,2009,70.0,Canada,3.0,,Brazil,5
427,Choklat,Brazilian,377,2009,80.0,Canada,3.0,,Brazil,5
428,Choklat,Ocumare,377,2009,70.0,Canada,3.0,Criollo,Venezuela,5
429,Chokolat Elot (Girard),Guadeloupe,1149,2013,42.0,Martinique,2.75,,Martinique,2
430,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75.0,Canada,3.25,,Mexico,3
431,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68.0,Canada,3.75,Forastero (Nacional),Peru,3
432,Chuao Chocolatier,Choroni,445,2009,61.0,U.S.A.,3.0,Criollo,Venezuela,5
433,Chuao Chocolatier (Pralus),Chuao,486,2010,77.0,U.S.A.,2.75,Trinitario,Venezuela,2
434,Claudio Corallo,Terreiro Velho P.,470,2010,73.5,Sao Tome,3.75,Forastero,Sao Tome & Principe,3
435,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80.0,Sao Tome,3.0,Forastero,Sao Tome & Principe,5
436,Claudio Corallo,Terreiro Velho P.,227,2008,75.0,Sao Tome,4.0,Forastero,Sao Tome & Principe,5
437,Claudio Corallo,Principe,252,2008,100.0,Sao Tome,1.0,Forastero,Sao Tome & Principe,1
438,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73.0,U.S.A.,3.5,,Ecuador,3
439,Coleman & Davis,Sambirano,1646,2015,75.0,U.S.A.,3.0,Trinitario,Madagascar,5
440,Compania de Chocolate (Salgado),Sur del Lago,579,2010,70.0,Argentina,3.25,,Venezuela,3
441,Compania de Chocolate (Salgado),Carenero Superior,292,2008,80.0,Argentina,2.75,Trinitario,Venezuela,2
442,Compania de Chocolate (Salgado),Moxos,292,2008,72.0,Argentina,3.25,,Bolivia,3
443,Compania de Chocolate (Salgado),Ocumare,292,2008,70.0,Argentina,3.75,Criollo,Venezuela,3
444,Compania de Chocolate (Salgado),Esmeraldas,296,2008,88.0,Argentina,2.75,Forastero (Nacional),Ecuador,2
445,Condor,Camino Verde,1630,2015,76.0,U.S.A.,3.5,,Ecuador,3
446,Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78.0,U.S.A.,2.75,Trinitario,Vietnam,2
447,Coppeneur,"Ecuador, Puristique",1169,2013,65.0,Germany,3.25,Forastero (Nacional),Ecuador,3
448,Coppeneur,Ghana Puristique,813,2012,85.0,Germany,3.5,Forastero,Ghana,3
449,Coppeneur,Ecuador Puristique,817,2012,100.0,Germany,1.5,,Ecuador,1
450,Coppeneur,Uba Budo,821,2012,72.0,Germany,3.75,Forastero,Sao Tome & Principe,3
451,Coppeneur,Madagascar,959,2012,70.0,Germany,3.5,Trinitario,Madagascar,3
452,Coppeneur,Grenada,470,2010,72.0,Germany,3.25,Trinitario,Grenada,3
453,Coppeneur,Chuao,478,2010,70.0,Germany,3.0,Trinitario,Venezuela,5
454,Coppeneur,"Los Rios, H. Iara",558,2010,72.0,Germany,2.5,Nacional,Ecuador,2
455,Coppeneur,Trinidad,558,2010,72.0,Germany,3.0,Trinitario,Trinidad,5
456,Coppeneur,Jamaica,558,2010,72.0,Germany,3.25,Trinitario,Jamaica,3
457,Coppeneur,Ocumare 61,558,2010,72.0,Germany,3.25,Criollo (Ocumare 61),Venezuela,3
458,Coppeneur,"Porcelana, Apotequil",341,2009,72.0,Germany,3.0,Criollo,Peru,5
459,Coppeneur,"Porcelana, Apotequil",445,2009,62.0,Germany,3.25,Criollo,Peru,3
460,Coppeneur,Chuao 100hr,451,2009,70.0,Germany,3.5,"Criollo, Trinitario",Venezuela,3
461,Coppeneur,Chuao 70hr,451,2009,70.0,Germany,3.75,"Criollo, Trinitario",Venezuela,3
462,Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72.0,Germany,3.0,Criollo,Mexico,5
463,Coppeneur,"Porcelana, Venezuela",220,2008,72.0,Germany,3.0,Criollo (Porcelana),Venezuela,5
464,Coppeneur,"Sambirano, Menava P.",196,2007,72.0,Germany,3.0,Trinitario,Madagascar,5
465,Cote d' Or (Kraft),Sensations Intense,48,2006,70.0,Belgium,1.0,, ,1
466,Cravve,New Ireland,1283,2014,70.0,Australia,2.5,Forastero,Papua New Guinea,2
467,Cravve,"Vanuatu, batch 2410",1335,2014,83.0,Australia,2.75,Trinitario,Vanuatu,2
468,Cravve,"Tanzania, batch a1",971,2012,75.0,Australia,3.25,Forastero,Tanzania,3
469,Cravve,"Bahia, batch a1213",975,2012,65.0,Australia,3.25,Trinitario,Brazil,3
470,Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67.0,Australia,3.25,Trinitario,Fiji,3
471,Cravve,Vanuatu,975,2012,64.0,Australia,3.25,Trinitario,Vanuatu,3
472,Cravve,Djual Island,975,2012,75.0,Australia,3.5,Forastero,Papua New Guinea,3
473,Creo,"""heirloom"", Arriba Nacional",1736,2016,85.0,U.S.A.,3.25,Forastero (Nacional),Ecuador,3
474,Creo,"""heirloom"", Arriba Nacional",1736,2016,73.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,3
475,Daintree,Goodman Estate,1654,2015,70.0,Australia,2.75,,Australia,2
476,Daintree,"Daintree Estates, N. Queensland",785,2011,70.0,Australia,3.25,,Australia,3
477,Dalloway,"Dominican Republic, batch 7",1928,2017,72.0,U.S.A.,2.75,,Dominican Republic,2
478,Damson,Robson Estate,1610,2015,70.0,U.K.,3.0,Trinitario,Trinidad,5
479,Damson,Los Rios,1610,2015,70.0,U.K.,3.5,,Ecuador,3
480,Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70.0,U.K.,2.25,,Grenada,2
481,Damson,O'Payo,1666,2015,70.0,U.K.,2.75,,Nicaragua,2
482,Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70.0,U.S.A.,3.75,, ,3
483,Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70.0,U.S.A.,3.0,Trinitario,Belize,5
484,Dandelion,Maya Mountain,1219,2014,70.0,U.S.A.,3.5,Trinitario,Belize,3
485,Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70.0,U.S.A.,3.5,,Ecuador,3
486,Dandelion,Buto,1303,2014,70.0,U.S.A.,2.75,,Liberia,2
487,Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70.0,U.S.A.,3.75,,Dominican Republic,3
488,Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70.0,U.S.A.,2.75,,Venezuela,2
489,Dandelion,Patanemo,1026,2013,70.0,U.S.A.,3.25,,Venezuela,3
490,Dandelion,"Mantuano, 2012",1085,2013,70.0,U.S.A.,3.5,,Venezuela,3
491,Dandelion,Papua New Guinea,1153,2013,70.0,U.S.A.,3.5,,Papua New Guinea,3
492,Dandelion,Upala,805,2012,70.0,U.S.A.,3.0,,Costa Rica,5
493,Dandelion,Colombian,805,2012,70.0,U.S.A.,3.25,,Colombia,3
494,Dandelion,"Elvesia, 2011",915,2012,70.0,U.S.A.,3.75,,Dominican Republic,3
495,Dandelion,Dominican Republic,654,2011,70.0,U.S.A.,3.25,,Dominican Republic,3
496,Dandelion,Madagascar,654,2011,70.0,U.S.A.,3.25,Trinitario,Madagascar,3
497,Dandelion,Tanzania,654,2011,70.0,U.S.A.,3.25,,Tanzania,3
498,Danta,Los Ujuxtes,1223,2014,82.0,Guatemala,3.25,,Guatemala,3
499,Danta,Chuao,987,2012,75.0,Guatemala,3.0,Trinitario,Venezuela,5
500,Danta,Los Ujuxtes,987,2012,70.0,Guatemala,3.75,,Guatemala,3
501,Danta,Sambirano,987,2012,70.0,Guatemala,3.75,Trinitario,Madagascar,3
502,Danta,Las Acacias E.,987,2012,70.0,Guatemala,4.0,Criollo,Guatemala,5
503,Danta,"Oscuro, Finca Chimelb",991,2012,70.0,Guatemala,3.25,,Guatemala,3
504,Danta,Los Ujuxtes,661,2011,60.0,Guatemala,3.5,,Guatemala,3
505,Danta,Las Acacias E.,423,2009,75.0,Guatemala,3.0,Criollo,Guatemala,5
506,Danta,Las Acacias E.,423,2009,60.0,Guatemala,3.25,Criollo,Guatemala,3
507,DAR,"Venezuela, batch 122",1920,2016,72.0,U.S.A.,2.75,,Venezuela,2
508,DAR,Vietnam,1920,2016,72.0,U.S.A.,3.0,Trinitario,Vietnam,5
509,DAR,"DUO, batch 002",1920,2016,70.0,U.S.A.,3.25,,"Ecuador, Costa Rica",3
510,Dark Forest,Bolivia,1708,2016,75.0,U.S.A.,3.25,,Bolivia,3
511,Dark Forest,Madagascar,1550,2015,70.0,U.S.A.,3.0,Trinitario,Madagascar,5
512,Dark Forest,Ocumare,1550,2015,70.0,U.S.A.,3.25,,Venezuela,3
513,Dark Forest,Tanzania,1554,2015,70.0,U.S.A.,3.0,,Tanzania,5
514,Dark Forest,Ecuador,1554,2015,70.0,U.S.A.,3.25,,Ecuador,3
515,Davis,Ghana,1093,2013,70.0,U.S.A.,2.5,Forastero,Ghana,2
516,Davis,Rainforest,1093,2013,70.0,U.S.A.,2.75,,Dominican Republic,2
517,Davis,Venezuela,1093,2013,70.0,U.S.A.,2.75,,Venezuela,2
518,Davis,West Africa,907,2012,58.0,U.S.A.,3.25,Forastero,West Africa,3
519,De Mendes,"Nativo, Varzea",1462,2015,72.0,Brazil,3.5,,Brazil,3
520,De Mendes,"Selvagem, Jari",1462,2015,65.0,Brazil,3.5,,Brazil,3
521,De Villiers,Bundibugyo District,1832,2016,70.0,South Africa,2.5,Forastero,Uganda,2
522,De Villiers,"Sambirano Valley, batch 2477",1832,2016,70.0,South Africa,3.0,,Madagascar,5
523,Dean and Deluca (Belcolade),Madagascar,170,2007,66.0,U.S.A.,2.5,Trinitario,Madagascar,2
524,Dean and Deluca (Belcolade),Costa Rica,175,2007,64.0,U.S.A.,3.0,,Costa Rica,5
525,Dean and Deluca (Belcolade),Ecuador,175,2007,71.0,U.S.A.,3.0,,Ecuador,5
526,Dean and Deluca (Belcolade),Ghana,175,2007,60.0,U.S.A.,3.0,Forastero,Ghana,5
527,Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64.0,U.S.A.,3.0,,Papua New Guinea,5
528,Dean and Deluca (Belcolade),Peru,180,2007,64.0,U.S.A.,3.0,,Peru,5
529,Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64.0,France,3.0,,Papua New Guinea,5
530,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66.0,France,3.75,,Venezuela,3
531,Desbarres,"Kilombero, batch 41",1916,2016,72.0,Canada,2.5,,Tanzania,2
532,DeVries,Bolivian,241,2008,80.0,U.S.A.,2.75,,Bolivia,2
533,DeVries,Costa Rica,166,2007,77.0,U.S.A.,3.5,Trinitario,Costa Rica,3
534,DeVries,Dominican Republic,166,2007,77.0,U.S.A.,3.5,,Dominican Republic,3
535,Dick Taylor,Lanquin Estate,1952,2017,70.0,U.S.A.,3.75,,Guatemala,3
536,Dick Taylor,Tien Giang,1864,2016,78.0,U.S.A.,3.5,Trinitario,Vietnam,3
537,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70.0,U.S.A.,3.75,,Bolivia,3
538,Dick Taylor,Elvesia,1235,2014,74.0,U.S.A.,3.5,,Dominican Republic,3
539,Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70.0,U.S.A.,3.25,,Ecuador,3
540,Dick Taylor,Camino Verde,1193,2013,76.0,U.S.A.,3.5,,Ecuador,3
541,Dick Taylor,Bolivia,895,2012,75.0,U.S.A.,2.75,,Bolivia,2
542,Dick Taylor,Belize,955,2012,72.0,U.S.A.,2.75,Trinitario,Belize,2
543,Dick Taylor,Sambirano,661,2011,80.0,U.S.A.,2.75,Trinitario,Madagascar,2
544,Dick Taylor,Sambirano,661,2011,72.0,U.S.A.,3.0,Trinitario,Madagascar,5
545,Dick Taylor,Mantuano,682,2011,75.0,U.S.A.,2.75,Criollo,Venezuela,2
546,Dick Taylor,La Red,769,2011,74.0,U.S.A.,3.0,,Dominican Republic,5
547,Dick Taylor,Ecuador,769,2011,70.0,U.S.A.,3.25,,Ecuador,3
548,Doble & Bignall,Puerto Cabello,1688,2015,85.0,U.K.,3.0,,Venezuela,5
549,Doble & Bignall,"Panama, Raven",1371,2014,72.0,U.K.,3.25,,Panama,3
550,Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72.0,U.K.,3.25,Trinitario,Venezuela,3
551,Doble & Bignall,Johe,1407,2014,72.0,U.K.,3.5,"Criollo, Trinitario",Nicaragua,3
552,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70.0,U.S.A.,3.75,,Hawaii,3
553,Dolfin (Belcolade),Africa,304,2008,88.0,Belgium,3.0,Forastero,West Africa,5
554,Dolfin (Belcolade),Noir,63,2006,70.0,Belgium,1.5,, ,1
555,Domori,Hacienda Victoria,1672,2015,70.0,Italy,3.75,,Ecuador,3
556,Domori,Ocumare 77,1672,2015,70.0,Italy,3.75,Criollo (Ocumare 77),Venezuela,3
557,Domori,"IL100, H. San Jose",1109,2013,100.0,Italy,3.0,Criollo,Venezuela,5
558,Domori,Morogoro,863,2012,70.0,Italy,3.5,,Tanzania,3
559,Domori,Guasare,863,2012,70.0,Italy,3.75,Criollo,Venezuela,3
560,Domori,"Canoabo, Hacienda San Jose",693,2011,70.0,Italy,3.5,Criollo,Venezuela,3
561,Domori,"Chuao, Hacienda San Jose",470,2010,70.0,Italy,3.0,Trinitario,Venezuela,5
562,Domori,"Carupano, H. San Jose",227,2008,70.0,Italy,3.0,Trinitario,Venezuela,5
563,Domori,Teyuna,272,2008,70.0,Italy,3.0,,Colombia,5
